,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_mae,split1_test_mae,split2_test_mae,split3_test_mae,split4_test_mae,mean_test_mae,std_test_mae,rank_test_mae,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_k,param_sim_options
0,1.0616780780071131,1.0675765130202663,1.0641560466414424,1.0523784986653708,1.0544476706344996,1.0600473613937385,0.005768823926914995,18,0.8353502312876795,0.8396262447351782,0.8368244708802504,0.829401081399591,0.8323734996294392,0.8347151055864277,0.003541018662861113,18,0.4947352886199951,0.012281774935608992,1.7422519207000733,0.11592259900788496,"{'k': 3, 'sim_options': {'name': 'msd', 'user_based': True}}",3,"{'name': 'msd', 'user_based': True}"
1,1.0566178182603492,1.0563022619853617,1.0682221195800965,1.0581182644566423,1.0558772548372213,1.0590275438239343,0.004658868347460428,17,0.826467634661273,0.8247944056317863,0.830214503070735,0.8238565210802296,0.8266869403072131,0.8264040009502474,0.0021764411830553724,17,0.66802978515625,0.010213948266281156,1.8009871006011964,0.04599972410584288,"{'k': 3, 'sim_options': {'name': 'msd', 'user_based': False}}",3,"{'name': 'msd', 'user_based': False}"
2,1.071192919474258,1.0785852902092086,1.0791901923946845,1.074790896987615,1.0720445328341923,1.0751607663799916,0.003272771345862108,19,0.8433338291755068,0.8488029008173419,0.8494797073453217,0.8485229418643452,0.849697475702686,0.8479673709810402,0.002356136770390948,20,1.6319294452667237,0.01382372700318007,1.645415735244751,0.04322160297932598,"{'k': 3, 'sim_options': {'name': 'cosine', 'user_based': True}}",3,"{'name': 'cosine', 'user_based': True}"
3,1.077006885048334,1.087213618374727,1.0807915852530787,1.070361866990288,1.0792397817054964,1.0789227474743845,0.005464262239890299,20,0.8433313775921822,0.8514989692939613,0.8435848389322573,0.8395479255727285,0.8427666553130486,0.8441459533408355,0.003951950127278183,19,2.551805782318115,0.22072609387356001,1.9213834285736084,0.16379531624447935,"{'k': 3, 'sim_options': {'name': 'cosine', 'user_based': False}}",3,"{'name': 'cosine', 'user_based': False}"
4,1.0120698149583212,1.0149787364033476,1.0182957388831557,1.0068993138778852,1.004356162109687,1.0113199532464794,0.005111692702985201,14,0.7971421049671513,0.8000091930260614,0.8019710187249864,0.7935791888117811,0.7943514034431618,0.7974105817946284,0.003214361196564218,14,0.5195208072662354,0.04848449993222189,1.898104190826416,0.16936561545748616,"{'k': 5, 'sim_options': {'name': 'msd', 'user_based': True}}",5,"{'name': 'msd', 'user_based': True}"
5,1.006099221684583,1.01237554439684,1.0164018115410167,1.0051495114253584,1.0039179550693,1.0087888088234194,0.004796374949370249,13,0.788069094070561,0.7926240982172496,0.7923213359440343,0.7861712774940768,0.7867610136544648,0.7891893638760773,0.0027519950462914972,13,0.7058579444885253,0.06341203086636123,1.980165672302246,0.17451723914869832,"{'k': 5, 'sim_options': {'name': 'msd', 'user_based': False}}",5,"{'name': 'msd', 'user_based': False}"
6,1.0224606083631331,1.0279450543760444,1.0287649216234476,1.0219063355573874,1.019954464339388,1.0242062768518803,0.0034978478411913927,15,0.8084758706107598,0.8110420826255142,0.8133749852856775,0.8081588215123585,0.8102124715555162,0.8102528463179652,0.001892873918400202,16,1.6636088371276856,0.06109212246727153,1.777353286743164,0.17721064978663129,"{'k': 5, 'sim_options': {'name': 'cosine', 'user_based': True}}",5,"{'name': 'cosine', 'user_based': True}"
7,1.0252236312473606,1.0326948513342111,1.0316122589526955,1.0223320902871205,1.0236905673571708,1.0271106798357117,0.004231789826673635,16,0.8048581204703134,0.8107323170517503,0.8059466832516128,0.8019260220498201,0.8052187726182916,0.8057363830883576,0.002848216964847529,15,2.3803810119628905,0.015073405091784476,1.8779346942901611,0.03682389174471264,"{'k': 5, 'sim_options': {'name': 'cosine', 'user_based': False}}",5,"{'name': 'cosine', 'user_based': False}"
8,0.9772875188246266,0.9788587380387074,0.9792555855645122,0.9717049354013813,0.967483267039011,0.9749180089736477,0.004594730081194117,10,0.7702011207920141,0.7724720690583585,0.7712760636021155,0.7673948027227951,0.7661066061562104,0.7694901324662987,0.002384351370302596,10,0.49298954010009766,0.007250243830803574,1.8998374462127685,0.05638135563832339,"{'k': 10, 'sim_options': {'name': 'msd', 'user_based': True}}",10,"{'name': 'msd', 'user_based': True}"
9,0.9601712333004531,0.9690906436694076,0.971553151335385,0.9619264562616364,0.9634645218668494,0.9652412012867464,0.00434758829234216,9,0.7528737083620517,0.7606751898901039,0.7604000801305675,0.7544688776874671,0.7565333551038176,0.7569902422348015,0.003121464715617662,8,0.6759802341461182,0.02096865150835999,2.0558134078979493,0.037875433913848434,"{'k': 10, 'sim_options': {'name': 'msd', 'user_based': False}}",10,"{'name': 'msd', 'user_based': False}"
10,0.982471054606233,0.9877185701459215,0.9881499749960961,0.9804736630565821,0.9804850202351888,0.9838596566080042,0.0034082072725303714,12,0.7773738158884871,0.7817339402692948,0.7807235826676687,0.7760286838374888,0.7781950820546583,0.7788110209435196,0.002116019309471861,12,1.6343555450439453,0.012081030433143097,1.9013452529907227,0.04015233308557074,"{'k': 10, 'sim_options': {'name': 'cosine', 'user_based': True}}",10,"{'name': 'cosine', 'user_based': True}"
